id,parent,permalink,image_dir,image,title,brand,model,marca,modello,anno,prezzo,forma,bilanciamento,peso,livello,materiale,gomma,superficie,index,content
adidas-metalbone-ctrl,/wiki/racchette/adidas/,/wiki/racchette/adidas/metalbone-ctrl/,/images/wiki/racchette/,adidas-metalbone-ctrl.jpg,Adidas Metalbone Ctrl,Adidas,Metalbone Ctrl,adidas,metalbone ctrl  ,2021,360,diamante oversize,alto,345-360,avanzato,carbonio e alluminio,EVA soft performance,ruvida,19,"La nuova Metalbone arriva anche nella sua versione CTRL, per i giocatori che cercano maggiore manovrabilità e precisione nel loro gioco. La CTRL presenta la stessa fabbricazione della versione power in carbonio e alluminio. Presenti anche le nuove tecnologie del 2021 e i piatti ruvidi con Spin Blade. L’unica differenza la troviamo nel formato, in questo caso rotondo con un bilanciamento medio. Ciò conferisce alla racchetta un punto dolce più ampio ed una maggiore sensazione di maneggevolezza."
adidas-metalbone,/wiki/racchette/adidas/,/wiki/racchette/adidas/metalbone/,/images/wiki/racchette/,adidas-metalbone.jpg,Adidas Metalbone,Adidas,Metalbone,adidas,metalbone,2021,320,rotonda,medio,345-360,avanzato,carbonio e alluminio,EVA soft performance,ruvida,18,"La nuova Metalbone arriva anche nella sua versione CTRL, per i giocatori che cercano maggiore manovrabilità e precisione nel loro gioco. La CTRL presenta la stessa fabbricazione della versione power in carbonio e alluminio. Presenti anche le nuove tecnologie del 2021 e i piatti ruvidi con Spin Blade. L’unica differenza la troviamo nel formato, in questo caso rotondo con un bilanciamento medio. Ciò conferisce alla racchetta un punto dolce più ampio ed una maggiore sensazione di maneggevolezza."
adidas-adipower-3.0,/wiki/racchette/adidas/,/wiki/racchette/adidas/adipower-3.0/,/images/wiki/racchette/,adidas-adipower-3.0.jpg,Adidas Adipower 3.0,Adidas,Adipower 3.0,adidas,adipower 3.0,2021,300,diamante oversize,alto,360-375,avanzato,carbonio,EVA high memory ,liscia,17,Le tecnologie DUAL EXOSKELETON e POWER EMBOSSED RIDGE tireranno fuori il meglio di te nei momenti chiave del gioco e con SPIN BLADE fornisce quell'effetto extra che stavi cercando.
adidas-adipower-ctrl-3.0,/wiki/racchette/adidas/,/wiki/racchette/adidas/adipower-ctrl-3.0/,/images/wiki/racchette/,adidas-adipower-ctrl-3.0.jpg,Adidas Adipower Ctrl 3.0,Adidas,Adipower Ctrl 3.0,adidas,adipower ctrl 3.0,2021,300,rotonda,medio,360-375,avanzato,carbonio,EVA high memory ,liscia,16,"La Adidas Adipower CTRL 3.0 è la versione di controllo, per chi predilige un gioco più comodo e maneggevole. Si tratta della racchetta scelta dal giocatore del World Padel Tour Alex Ruiz per questa nuova stagione 2021. In quanto a materiali e tecnologie è esattamente identica alla versione di potenza. Dispone di una struttura in carbonio, un nucleo EVA High Memory e tutte le altre tecnologie. La differenza risiede nel formato rotondo con bilanciamento medio per ottenere un punto dolce ampio ed una struttura maneggevole e leggera."
adidas-adipower-light-3.0,/wiki/racchette/adidas/,/wiki/racchette/adidas/adipower-light-3.0/,/images/wiki/racchette/,adidas-adipower-light-3.0.jpg,Adidas Adipower Light 3.0,Adidas,Adipower Light 3.0,adidas,adipower light 3.0,2021,250,rotonda,medio,345-360,avanzato,carbonio,EVA Soft energy,liscia,15,"La Adipower Light è un’altra delle racchette più famose e una delle più vendute del 2020. Anche lei arriva alla sua terza versione, riconosciuta per avere una struttura leggera che la rende confortevole e maneggevole. È la racchetta ufficiale di Martita Ortega, una giocatrice che occupa la seconda posizione nella classifica femminile del World Padel Tour. Questa racchetta è molto simile alla versione di controllo, con lo stesso formato e costruzione in carbonio. La differenza, oltre al peso ridotto, risiede in un nucleo Soft Energy più morbido."
adidas-essnova-carbon-3.0,/wiki/racchette/adidas/,/wiki/racchette/adidas/essnova-carbon-3.0/,/images/wiki/racchette/,adidas-essnova-carbon-3.0.jpg,Adidas Essnova Carbon 3.0,Adidas,Essnova Carbon 3.0,adidas,essnova carbon 3.0,2021,205,diamante  ,alto,345-360,intermedio,carbonio 6k,EVA Soft performance,liscia,14,"L’Essnova Carbon 3.0 punta a diventare una delle preferite dai giocatori avanzati. Una racchetta potente con una forma a diamante, alto bilanciamento e struttura 100% in carbonio. In particolare, in questo modello, i piatti sono composti da fibra di carbonio 6K. Un altro aspetto importante è che, nonostante sia una racchetta di potenza, dispone di un nucleo in gomma EVA Soft Performance con un tocco morbido."
adidas-essnova-carbon-ctrl-3.0,/wiki/racchette/adidas/,/wiki/racchette/adidas/essnova-carbon-ctrl-3.0/,/images/wiki/racchette/,adidas-essnova-carbon-ctrl-3.0.jpg,Adidas Essnova Carbon Ctrl 3.0,Adidas,Essnova Carbon Ctrl 3.0,adidas,essnova carbon ctrl 3.0,2021,205,rotonda,medio,345-360,intermedio,carbonio 6k,EVA Soft performance,liscia,13,"La Essnova dispone anch’essa di una versione di controllo, ideale per il giocatore che desidera una maggiore gestibilità del proprio gioco. In termini di componenti e tecnologie, è identica alla Essnova Carbon 3.0. Anche qui troviamo il carbonio 6K sui piatti e il tubolare in carbonio, così come un nucleo morbido ed elastico. L’unica differenza sta nel formato, in questo modello rotondo e con un bilanciamento medio per favorire il gioco di controllo."
adidas-greenpadel,/wiki/racchette/adidas/,/wiki/racchette/adidas/greenpadel/,/images/wiki/racchette/,adidas-greenpadel.jpg,Adidas Greenpadel,Adidas,Greenpadel,adidas,greenpadel,2021,190,rotonda,medio,345-360,intermedio,fibra di lino,EVA Soft performance,liscia,12,"Questa è una tra le racchette più speciali della collezione ed è completamente nuova. L’Adidas Greenpadel è la prima racchetta ecologica della storia. Un modello realizzato con materiali sostenibili a rispetto del medioambiente. È composta da Fibra di Lino, una fibra lavorata a mano, che oltre ad essere resistente è leggera risulta molto morbida. Si tratta di una racchetta di controllo, con un formato rotondo, un bilanciamento medio e una gomma EVA Soft Performance all’interno."
adidas-adipower-lite,/wiki/racchette/adidas/,/wiki/racchette/adidas/adipower-lite/,/images/wiki/racchette/,adidas-adipower-lite.jpg,Adidas Adipower Lite,Adidas,Adipower Lite,adidas,adipower lite,2021,175,diamante,alto,345-360,intermedio,fibra di vetro,EVA soft performance,liscia,11,"La versione Lite di Adipower è perfetta per i giocatori di livello intermedio che cercano di raggiungere il livello successivo. Ci troviamo di fronte una racchetta di potenza, con un formato a diamante ed un alto bilanciamento per imprimere più forza nel colpo. La differenza con l’Adipower professionale è il materiale utilizzato nei piatti. In questo modello è stata utilizzata la fibra di vetro ed un nucleo EVA Soft Performance. Il tocco, quindi, risulterà più morbido e confortevole, ma senza perdere in potenza."
adidas-adipower-control-lite,/wiki/racchette/adidas/,/wiki/racchette/adidas/adipower-control-lite/,/images/wiki/racchette/,adidas-adipower-control-lite.jpg,Adidas Adipower Control Lite,Adidas,Adipower Control Lite,adidas,adipower control lite,2021,175,rotonda,medio,345-360,intermedio,fibra di vetro,EVA soft performance,liscia ,10,"Adipower Lite è disponibile anche nella sua versione di controllo CTRL. Una racchetta da padel che, con il suo formato rotondo e il bilanciamento medio, favorisce un gioco comodo, preciso e con più maneggevolezza. Presenta una struttura 100% in fibra di vetro e un nucleo EVA Soft Performance per colpire comodamente."
